"Date","Stage","Team","Opponent","Result","Home_goals","Away_goals","Shots","Shots_on_target","Possession","Fouls","Yellow_cards","Red_cards","Offsides","Corners","Extra_time","Extra_goals","Penalties","Penalties_made"
"6/26/2018","Group-3","Peru","Australia","3","2","0","4","3","42","12","2","0","1","3","false","","false",""
"6/26/2018","Group-3","France","Denmark","2","0","0","11","3","68","10","0","0","1","2","false","","false",""
"6/26/2018","Group-3","Argentina","Nigeria","3","2","1","8","4","67","15","3","0","2","5","false","","false",""
"6/26/2018","Group-3","Croatia","Iceland","3","2","1","14","2","62","11","2","0","2","5","false","","false",""
"6/27/2018","Group-3","Mexico","Sweden","1","0","3","20","3","67","14","3","0","2","7","false","","false",""
"6/27/2018","Group-3","South Korea","Germany","3","2","0","12","5","26","16","4","0","0","3","false","","false",""
"6/27/2018","Group-3","Switzerland","Costa Rica","2","2","2","13","3","63","9","3","0","1","6","false","","false",""
"6/27/2018","Group-3","Serbia","Brazil","1","0","2","10","2","41","13","3","0","2","5","false","","false",""
"6/27/2018","Group-3","Sweden","Mexico","3","3","0","15","5","33","11","2","0","0","3","false","","false",""
"6/27/2018","Group-3","Germany","South Korea","1","0","2","28","6","74","7","0","0","1","9","false","","false",""
"6/27/2018","Group-3","Costa Rica","Switzerland","2","2","2","14","6","37","14","3","0","1","5","false","","false",""
"6/27/2018","Group-3","Brazil","Serbia","3","2","0","14","6","59","7","0","0","4","9","false","","false",""
"6/28/2018","Group-3","Senegal","Colombia","1","0","1","7","3","40","15","1","0","3","1","false","","false",""
"6/28/2018","Group-3","Japan","Poland","1","0","1","10","3","55","11","1","0","1","5","false","","false",""
"6/28/2018","Group-3","England","Belgium","1","0","1","11","2","46","11","0","0","3","7","false","","false",""
"6/28/2018","Group-3","Panama","Tunisia","1","1","2","9","4","30","18","3","0","4","0","false","","false",""
"6/28/2018","Group-3","Colombia","Senegal","3","1","0","4","2","60","15","1","0","3","3","false","","false",""
"6/28/2018","Group-3","Poland","Japan","3","1","0","11","2","45","8","0","0","0","7","false","","false",""
"6/28/2018","Group-3","Belgium","England","3","1","0","14","4","54","14","2","0","1","2","false","","false",""
"6/28/2018","Group-3","Tunisia","Panama","3","2","1","14","6","70","19","3","0","1","6","false","","false",""
"6/30/2018","Last-16","France","Argentina","3","4","3","9","4","39","21","3","0","0","0","false","","false",""
"6/30/2018","Last-16","Uruguay","Portugal","3","2","1","5","3","33","13","0","0","0","2","false","","false",""
"6/30/2018","Last-16","Argentina","France","1","3","4","10","4","61","15","5","0","1","4","false","","false",""
"6/30/2018","Last-16","Portugal","Uruguay","1","1","2","20","5","67","13","1","0","1","10","false","","false",""
"7/1/2018","Last-16","Spain","Russia","1","1","1","24","9","79","5","1","0","1","6","true","0","true","3"
"7/1/2018","Last-16","Croatia","Denmark","3","1","1","20","6","54","5","0","0","2","5","true","0","true","3"
"7/1/2018","Last-16","Russia","Spain","3","1","1","7","1","21","19","2","0","1","5","true","0","true","4"
"7/1/2018","Last-16","Denmark","Croatia","1","1","1","14","3","46","19","1","0","0","4","true","0","true","2"
"7/2/2018","Last-16","Brazil","Mexico","3","2","0","20","10","48","6","2","0","0","8","false","","false",""
"7/2/2018","Last-16","Belgium","Japan","3","3","2","24","8","58","13","0","0","1","10","false","","false",""
"7/2/2018","Last-16","Mexico","Brazil","1","0","2","14","1","52","17","4","0","2","7","false","","false",""
"7/2/2018","Last-16","Japan","Belgium","1","2","3","11","4","42","9","1","0","1","6","false","","false",""
"7/3/2018","Last-16","Sweden","Switzerland","3","1","0","12","3","32","11","1","0","1","3","false","","false",""
"7/3/2018","Last-16","Colombia","England","1","1","1","14","4","47","23","6","0","1","2","true","0","true","3"
"7/3/2018","Last-16","Switzerland","Sweden","1","0","1","18","4","68","13","2","1","0","11","false","","false",""
"7/3/2018","Last-16","England","Colombia","3","1","1","16","2","53","13","2","0","2","7","true","0","true","4"
"7/6/2018","QFinals","Uruguay","France","1","0","2","11","4","38","17","2","0","0","4","false","","false",""
"7/6/2018","QFinals","Brazil","Belgium","1","1","2","27","9","59","14","2","0","1","8","false","","false",""
"7/6/2018","QFinals","France","Uruguay","3","2","0","11","2","62","15","2","0","0","3","false","","false",""
"7/6/2018","QFinals","Belgium","Brazil","3","2","1","9","3","41","16","2","0","0","4","false","","false",""
"7/7/2018","QFinals","Sweden","England","1","0","2","6","3","42","10","2","0","2","1","false","","false",""
"7/7/2018","QFinals","Russia","Croatia","1","2","2","13","5","35","25","1","0","1","6","true","1","true","3"
"7/7/2018","QFinals","England","Sweden","3","2","0","12","2","58","7","1","0","1","6","false","","false",""
"7/7/2018","QFinals","Croatia","Russia","3","2","2","18","3","65","18","4","0","0","8","true","1","true","4"
"7/10/2018","SFinals","France","Belgium","3","1","0","19","5","36","6","2","0","1","4","false","","false",""
"7/10/2018","SFinals","Belgium","France","1","0","1","9","3","64","16","3","0","1","5","false","","false",""
"7/11/2018","SFinals","Croatia","England","3","2","1","22","7","56","23","2","0","1","8","true","1","false",""
"7/11/2018","SFinals","England","Croatia","1","1","2","11","2","44","14","1","0","3","4","true","0","false",""
"7/14/2018","Third-Place","Belgium","England","3","2","0","12","4","42","11","1","0","1","4","false","","false",""
"7/14/2018","Third-Place","England","Belgium","1","0","2","15","6","58","4","2","0","0","5","false","","false",""
"7/15/2018","Final","Croatia","France","1","2","4","7","6","34","13","2","0","1","2","false","","false",""
"7/15/2018","Final","France","Croatia","3","4","2","14","4","66","13","1","0","1","6","false","","false",""
