"country","value","category"
"Sweden","6","goals_scored"
"Sweden","4","goals_against"
"Sweden","55","shots"
"Sweden","21","shots_on_target"
"Sweden","2","penalties"
"Sweden","6","offsides"
"Sweden","16","corners"
"Sweden","65","fouls_committed"
"Sweden","64","fouls_suffered"
"Sweden","8","yellow_cards"
"Sweden","0","red_cards"
"Switzerland","4","matches_played"
"Switzerland","5","goals_scored"
"Switzerland","5","goals_against"
"Switzerland","56","shots"
"Switzerland","14","shots_on_target"
"Switzerland","0","penalties"
"Switzerland","4","offsides"
"Switzerland","26","corners"
"Switzerland","53","fouls_committed"
"Switzerland","53","fouls_suffered"
"Switzerland","9","yellow_cards"
"Switzerland","1","red_cards"
"Tunisia","3","matches_played"
"Tunisia","5","goals_scored"
"Tunisia","8","goals_against"
"Tunisia","36","shots"
"Tunisia","13","shots_on_target"
"Tunisia","1","penalties"
"Tunisia","6","offsides"
"Tunisia","10","corners"
"Tunisia","46","fouls_committed"
"Tunisia","35","fouls_suffered"
"Tunisia","4","yellow_cards"
"Tunisia","0","red_cards"
"Uruguay","5","matches_played"
"Uruguay","7","goals_scored"
"Uruguay","3","goals_against"
"Uruguay","61","shots"
"Uruguay","22","shots_on_target"
"Uruguay","0","penalties"
"Uruguay","2","offsides"
"Uruguay","18","corners"
"Uruguay","63","fouls_committed"
"Uruguay","69","fouls_suffered"
"Uruguay","3","yellow_cards"
"Uruguay","0","red_cards"
